indiv;date;date_mission;site_mission;seqtot;sexe;NS_name_mission;geography;x;y;nuit
M569;12/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS12_novb12;allo;372302;6938041;7
M569;13/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS12_novb12;allo;372302;6938041;7
M569;09/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA4_NS7_novb12;allo;372301;6938043;7
M568;14/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA1_NS2_novb12;allo;372337;6937851;6
M568;15/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA1_NS2_novb12;allo;372337;6937851;6
M568;10/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA1_NS1_novb12;allo;372327;6937812;6
M568;11/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA1_NS1_novb12;allo;372327;6937812;6
M568;13/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA1_NS1_novb12;allo;372327;6937812;6
M568;12/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA1B_NS1_novb12;allo;372326;6937810;6
M563;09/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS10_novb12;allo;372482;6937900;6
M563;05/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS3_novb12;allo;372482;6937906;6
M563;06/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS3_novb12;allo;372482;6937906;6
M563;07/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS3_novb12;allo;372482;6937906;6
M563;08/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS3_novb12;allo;372482;6937906;6
M563;10/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS3_novb12;allo;372482;6937906;6
M561;10/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS11_novb12;allo;372459;6937928;6
M561;05/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS2_novb12;allo;372455;6937939;6
M561;09/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS8_novb12;allo;372413;6937946;6
M561;06/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS1_novb12;allo;372411;6937959;6
M561;07/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS1_novb12;allo;372411;6937959;6
M561;08/11/2012;novb12;SAN_1_4_5_1G_8_novb12;R.pumilio.nord;M;SA5_NS4_novb12;allo;372399;6937976;6
M556;02/11/2012;novb12;SAN10_novb12;R.pumilio.nord;M;SA10_NS2_novb12;allo;370572;6939306;7
M556;03/11/2012;novb12;SAN10_novb12;R.pumilio.nord;M;SA10_NS2_novb12;allo;370572;6939306;7
M556;30/10/2012;novb12;SAN10_novb12;R.pumilio.nord;M;SA10_NS1_novb12;allo;370567;6939306;7
M556;31/10/2012;novb12;SAN10_novb12;R.pumilio.nord;M;SA10_NS1_novb12;allo;370567;6939306;7
M556;01/11/2012;novb12;SAN10_novb12;R.pumilio.nord;M;SA10_NS1_novb12;allo;370567;6939306;7
M556;04/11/2012;novb12;SAN10_novb12;R.pumilio.nord;M;SA10_NS1_novb12;allo;370567;6939306;7
M556;05/11/2012;novb12;SAN10_novb12;R.pumilio.nord;M;SA10_NS1_novb12;allo;370567;6939306;7
M553;29/10/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS1_novb12;allo;368937;6943529;6
M553;30/10/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS5_novb12;allo;368929;6943536;6
M553;02/11/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS13_novb12;allo;368926;6943535;6
M553;31/10/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS2_novb12;allo;368910;6943512;6
M553;01/11/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS12_novb12;allo;368878;6943493;6
M552;01/11/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS13_novb12;allo;368926;6943535;4
M552;29/10/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS2_novb12;allo;368910;6943512;4
M552;30/10/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS2_novb12;allo;368910;6943512;4
M551;01/11/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS1_novb12;allo;368937;6943529;6
M551;31/10/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS11_novb12;allo;368932;6943539;6
M551;30/10/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS6_novb12;allo;368931;6943525;6
M551;02/11/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS13_novb12;allo;368926;6943535;6
M551;03/11/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS13_novb12;allo;368926;6943535;6
M551;29/10/2012;novb12;BL1_novb12;R.d.dilectus;M;BL1_NS3_novb12;allo;368916;6943400;6
M55;15/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;CC_novb11;symp;372364;6937795;8
M55;11/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;AV_novb11;symp;372362;6937920;8
M55;13/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;AV_novb11;symp;372362;6937920;8
M55;16/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;AX_novb11;symp;372360;6937944;8
M55;10/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;BN_novb11;symp;372354;6937929;8
