site_mission seqtot geography distance
SO8_novb12 R.d.dilectus allo 62.4259561401
SO8_novb12 R.d.dilectus allo 63.0079360081
SO8_novb12 R.d.dilectus allo 28.231188427
SO8_novb12 R.d.dilectus allo 29.1547594742
SO8_novb12 R.d.dilectus allo 30.083217913
SO8_novb12 R.d.dilectus allo 22.0227155455
SO8_novb12 R.d.dilectus allo 22.0907220344
SO8_novb12 R.d.dilectus allo 1
SO8_novb12 R.d.dilectus allo 2.2360679775
SO8_novb12 R.d.dilectus allo 7.61577310586
SO8_novb12 R.d.dilectus allo 6.0827625303
TDR2B_novb13 R.pumilio.nord allo 18.973665961
TDR2B_novb13 R.pumilio.nord allo 75.2927619363
TDR2B_novb13 R.pumilio.nord allo 92.0054346221
TDR2B_novb13 R.pumilio.nord allo 99.4082491547
TDR2B_novb13 R.pumilio.nord allo 56.8594759033
TDR2B_novb13 R.pumilio.nord allo 88.0738326633
TDR2B_novb13 R.pumilio.nord allo 93.4344690144
TDR2B_novb13 R.pumilio.nord allo 85.2760224213
TDR2B_novb13 R.pumilio.nord allo 82.8070045346
TDR2B_novb13 R.pumilio.nord allo 12.2065556157
TDR2B_novb13 R.pumilio.nord allo 53.1413210223
TDR2B_novb13 R.pumilio.nord allo 63.1268564083
TDR2B_novb13 R.pumilio.nord allo 25.5538646784
TDR2B_novb13 R.pumilio.nord allo 0
TDR2B_novb13 R.pumilio.nord allo 0
TDR2B_novb13 R.pumilio.nord allo 28.0178514522
TDR2B_novb13 R.pumilio.nord allo 86.8331733844
TDR2B_novb13 R.pumilio.nord allo 66.4003012041
TDR2B_novb13 R.pumilio.nord allo 98.488578018
TDR2B_novb13 R.pumilio.nord allo 96.0052081921
TDR2B_novb13 R.pumilio.nord allo 103.585713301
TDR2B_novb13 R.pumilio.nord allo 12.3693168769
TDR2B_novb13 R.pumilio.nord allo 29.1547594742
TDR2B_novb13 R.pumilio.nord allo 17.691806013
TDR2B_novb13 R.pumilio.nord allo 20.0249843945
TDR2B_novb13 R.pumilio.nord allo 38.6005181312
TDR2B_novb13 R.pumilio.nord allo 25.5538646784
TDR2B_novb13 R.pumilio.nord allo 15.1327459504
TDR6_novb12 R.pumilio.nord allo 17.0293863659
TDR6_novb12 R.pumilio.nord allo 16.1245154966
TDR6_novb12 R.pumilio.nord allo 37.7359245282
TDR6_novb12 R.pumilio.nord allo 12.0830459736
TDR6_novb12 R.pumilio.nord allo 21.0237960416
TDR6_novb12 R.pumilio.nord allo 30.2654919008
TDR6_novb12 R.pumilio.nord allo 33.3766385366
TDR6_novb12 R.pumilio.nord allo 1
TDR6_novb12 R.pumilio.nord allo 0
TDR6_novb12 R.pumilio.nord allo 30.3644529014
TDR6_novb12 R.pumilio.nord allo 30.8058436015
TDR6_novb12 R.pumilio.nord allo 9.8488578018
TDR6_novb12 R.pumilio.nord allo 38.0788655293
TDR6_novb12 R.pumilio.nord allo 28.6006992922
TDR6_novb12 R.pumilio.nord allo 19.6977156036
TDR6_novb12 R.pumilio.nord allo 9.21954445729
TDR6_novb12 R.pumilio.nord allo 30.8058436015
TDR6_novb12 R.pumilio.nord allo 22.627416998
TDR6_novb12 R.pumilio.nord allo 33.3766385366
TDR6_novb12 R.pumilio.nord allo 51.8844870843
TDR6_novb12 R.pumilio.nord allo 70.2139587262
TDR6_novb12 R.pumilio.nord allo 74.0067564483
TDR6_novb12 R.pumilio.nord allo 47.0956473573
