indiv,INNS,night,site_mission,seqtot,sexe,geography,NS1NS2,distance
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS11C_novb12/BL4_NST26_novb12,145.962323906
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6C_novb12/BL4_NST22_novb12,23.7065391823
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6C_novb12/BL4_NST26_novb12,140.117807576
M587,6,7,BL4_novb12,R.d.dilectus,M,allo,BL4_NST22_novb12/BL4_NST26_novb12,116.468879964
M590,3,5,BL4_novb12,R.d.dilectus,M,allo,BL4_NS4C_novb12/BL4_NS10N_novb12,6.32455532034
M590,3,5,BL4_novb12,R.d.dilectus,M,allo,BL4_NS4C_novb12/BL4_NS7C_novb12,18.6010752377
M590,3,5,BL4_novb12,R.d.dilectus,M,allo,BL4_NS10N_novb12/BL4_NS7C_novb12,21.400934559
M591,3,5,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6C_novb12/BL4_NS9N_novb12,115.381974329
M591,3,5,BL4_novb12,R.d.dilectus,M,allo,BL4_NS6C_novb12/BL4_NS2C_novb12,143.673240376
M591,3,5,BL4_novb12,R.d.dilectus,M,allo,BL4_NS9N_novb12/BL4_NS2C_novb12,28.8617393793
M592,4,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS3C_novb12/BL4_NS12C_novb12,4.12310562562
M592,4,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS3C_novb12/BL4_NS8C_novb12,7.07106781187
M592,4,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS3C_novb12/BL4_NS5C_novb12,8.54400374532
M592,4,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS12C_novb12/BL4_NS8C_novb12,6.0827625303
M592,4,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS12C_novb12/BL4_NS5C_novb12,4.472135955
M592,4,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS8C_novb12/BL4_NS5C_novb12,8.54400374532
M604,3,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS4N_novb12/BL4_NS1N_novb12,18.0277563773
M604,3,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS4N_novb12/BL4_NS7N_novb12,28.231188427
M604,3,6,BL4_novb12,R.d.dilectus,M,allo,BL4_NS1N_novb12/BL4_NS7N_novb12,12.8062484749
F206,2,6,SAN10_novb12,R.pumilio.nord,F,allo,SA10_NS2_novb12/SA10_NS1_novb12,5
